,incident_date,breed,borough
538,2015-05-08,bull dog,Queens
539,2015-05-08,russell terr,Staten Island
540,2015-05-08,pit bull,Queens
541,2015-05-09,chihuahua,Manhattan
542,2015-05-09,american pit bull terrier/pit bull,Brooklyn
543,2015-05-09,american pit bull mix / pit bull mix,Brooklyn
544,2015-05-09,siberian husky,Brooklyn
545,2015-05-09,pit bull,Queens
546,2015-05-09,pekingese,Bronx
547,2015-05-09,cairn terrier,Manhattan
548,2015-05-09,terrier x,Queens
549,2015-05-10,american pit bull mix / pit bull mix,Brooklyn
550,2015-05-10,american staffordshire terrier,Brooklyn
551,2015-05-10,american pit bull terrier/pit bull,Brooklyn
552,2015-05-10,goldendoodle,Manhattan
553,2015-05-11,american pit bull terrier/pit bull,Staten Island
554,2015-05-11,american pit bull terrier/pit bull,Brooklyn
555,2015-05-12,bloodhound,Brooklyn
556,2015-05-12,american pit bull mix / pit bull mix,Brooklyn
557,2015-05-12,saint bernard,Bronx
558,2015-05-12,cane corso,Brooklyn
559,2015-05-12,shih tzu/maltese x,Manhattan
560,2015-05-13,chihuahua,Bronx
561,2015-05-13,pit bull,Manhattan
562,2015-05-13,labradoodle,Manhattan
563,2015-05-13,pit bull,Bronx
564,2015-05-14,american pit bull terrier/pit bull,Brooklyn
565,2015-05-14,pit bull,Manhattan
566,2015-05-14,mixed/other,Queens
567,2015-05-15,american pit bull mix / pit bull mix,Manhattan
568,2015-05-15,labrador retriever,Bronx
569,2015-05-16,border collie/jack russell,Brooklyn
570,2015-05-16,pitbull/boxer,Queens
571,2015-05-16,labrador retriever crossbreed,Staten Island
572,2015-05-17,american pit bull mix / pit bull mix,Queens
573,2015-05-17,golden retriever mixed,Manhattan
574,2015-05-17,chihuahua,Queens
575,2015-05-18,american staffordshire terrier,Brooklyn
576,2015-05-18,american staffordshire terrier,Brooklyn
577,2015-05-18,"poodle, toy",Manhattan
578,2015-05-18,american pit bull terrier/pit bull,Queens
579,2015-05-18,pit bull,Queens
580,2015-05-19,chow chow,Queens
581,2015-05-19,pit bull,Bronx
582,2015-05-19,rottweiler,Queens
583,2015-05-19,border collie & australian blue heeler,Bronx
584,2015-05-19,husky -x,Manhattan
585,2015-05-19,yorkshire terrier,Manhattan
586,2015-05-19,american staffordshire terrier,Manhattan
587,2015-05-20,chow/mini pincher,Queens
588,2015-05-20,pit bull,Manhattan
589,2015-05-20,retriever/lab x,Staten Island
590,2015-05-20,chihuahua crossbreed,Bronx
591,2015-05-20,shiba inu,Queens
592,2015-05-20,mutt,Brooklyn
593,2015-05-20,boxer mix,Manhattan
594,2015-05-20,shih tzu,Staten Island
595,2015-05-20,"bulldog, american",Manhattan
596,2015-05-21,american staffordshire terrier,Manhattan
597,2015-05-21,pit bull,Queens
598,2015-05-22,american pit bull mix / pit bull mix,Bronx
599,2015-05-23,maltese mix,Brooklyn
600,2015-05-23,"mastiff, tibetan",Brooklyn
601,2015-05-23,american pit bull terrier/pit bull,Staten Island
602,2015-05-23,beagle,Staten Island
603,2015-05-23,american pit bull mix / pit bull mix,Brooklyn
604,2015-05-24,shih tzu,Bronx
605,2015-05-24,mixed,Brooklyn
606,2015-05-24,pit bull/lab x,Brooklyn
607,2015-05-24,pit bull/lab x,Brooklyn
608,2015-05-24,pekingese,Bronx
609,2015-05-24,,Brooklyn
610,2015-05-24,red nose pit,Bronx
611,2015-05-25,staffordshire terrier,Bronx
612,2015-05-25,jack russ,Queens
613,2015-05-25,mixed/other,Queens
614,2015-05-25,labrador retriever,Brooklyn
615,2015-05-25,golden retriever,Queens
616,2015-05-25,american pit bull terrier/pit bull,Bronx
617,2015-05-25,beagle,Staten Island
618,2015-05-25,"bull dog, french",Manhattan
619,2015-05-25,chihuahua crossbreed,Manhattan
620,2015-05-26,bull dog,Manhattan
621,2015-05-26,"mastiff, bull",Manhattan
622,2015-05-26,havanese,Staten Island
623,2015-05-27,shih tzu,Queens
624,2015-05-27,samoyed,Queens
625,2015-05-27,blue heeler x,Brooklyn
626,2015-05-27,pit bull,Bronx
